audit_tags,code,expire_date,fill_reason,order_id,parameter_set_id,setup_id,signal_date,status,tail_path
[],601899,2025-11-04,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-ec36397631160617fcc7,s6ps-302e3a382d956a99,s6setup-adbe496cc119f94392ee,2025-10-30,CANCELLED,ORIGINAL
[],603005,2025-03-10,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-c7c2d96a754e03d92153,s6ps-302e3a382d956a99,s6setup-fb99a9ea9bf6c482cf37,2025-03-05,CANCELLED,BOX
[],603099,2024-11-27,FILLED_FROZEN_PLAN,s6order-b7d2923b4e124fc6c65c,s6ps-302e3a382d956a99,s6setup-d245c07d3f6641955e81,2024-11-22,FILLED,ORIGINAL
[],603099,2024-11-28,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-fe05fbe78dcdb6d43c67,s6ps-302e3a382d956a99,s6setup-f5596be19bb7272c4656,2024-11-25,CANCELLED,ORIGINAL
[],603119,2025-10-13,FILLED_FROZEN_PLAN,s6order-63e3a19a0cbe9806959b,s6ps-302e3a382d956a99,s6setup-c5ff5044c6a383480dae,2025-09-30,FILLED,BOTH
[],603228,2025-07-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-c8746050726b366d6b24,s6ps-302e3a382d956a99,s6setup-377dd51ceb9e33db7063,2025-07-25,CANCELLED,ORIGINAL
[],603236,2025-01-17,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-49caba490bd8244b79dd,s6ps-302e3a382d956a99,s6setup-cb35c81b3631ddf2e355,2025-01-14,CANCELLED,ORIGINAL
[],603308,2025-10-14,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-1bd0d3f08bfa54558d21,s6ps-302e3a382d956a99,s6setup-eb3d08c4e6d4e02cf9b9,2025-10-09,CANCELLED,ORIGINAL
[],603308,2025-10-15,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-2dc085ba2e941503035a,s6ps-302e3a382d956a99,s6setup-6bf102eefcbf962310f2,2025-10-10,CANCELLED,ORIGINAL
[],603319,2025-09-17,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-2283379dfaf5a8acbcba,s6ps-302e3a382d956a99,s6setup-7c753eb5e838c5c1b4af,2025-09-12,CANCELLED,ORIGINAL
[],603319,2025-09-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-068b070df90608194536,s6ps-302e3a382d956a99,s6setup-bd368923a209cc5ec5e1,2025-09-25,CANCELLED,ORIGINAL
[],603319,2025-10-09,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-c31bcf4d3a180d75b5b3,s6ps-302e3a382d956a99,s6setup-8faad389ffec920102ce,2025-09-26,CANCELLED,ORIGINAL
[],603319,2025-10-10,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-e917893c4c991ec8763f,s6ps-302e3a382d956a99,s6setup-8e5ebc79909a2668e31d,2025-09-29,CANCELLED,ORIGINAL
[],603444,2025-08-15,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-4f41c10255c540fbd9e2,s6ps-302e3a382d956a99,s6setup-5495057d612d3532c841,2025-08-12,CANCELLED,ORIGINAL
