evaluation_date,code,name,setup_id,candidate_type,candidate_event_id,candidate_event_sequence,first_candidate_date,first_executable_date,is_first_candidate_event,is_first_executable_event,entry_archetype
2024-11-07,603893,瑞芯微,s6setup-5c8f844a5bd2c3275a12,WATCH_CANDIDATE,s6event-e8e2c08883a4e9b3aadb,2,2024-11-06,,False,False,WAIT_BREAKOUT
2024-11-08,002130,沃尔核材,s6setup-0ea994a0114ea261040e,WATCH_CANDIDATE,s6event-44ba49386672a162979d,3,2024-11-06,2024-11-06,False,False,SUPPORT_PULLBACK
2024-11-08,002600,领益智造,s6setup-683787f79104f8ee2e19,KEY_CANDIDATE,s6event-59d8b9663583928e9f7b,1,2024-11-08,2024-11-08,True,True,SUPPORT_PULLBACK
2024-11-08,300067,安诺其,s6setup-00fcccb83fb3b2701a5b,KEY_CANDIDATE,s6event-759b48ea271bddf08145,1,2024-11-08,2024-11-08,True,True,SUPPORT_PULLBACK
2024-11-08,300192,科德教育,s6setup-18e91cf1670e563726d6,KEY_CANDIDATE,s6event-c1b0c52aed9ab19c2f1c,1,2024-11-08,2024-11-08,True,True,SUPPORT_PULLBACK
2024-11-08,300303,聚飞光电,s6setup-481bd3cc8486c5ed323e,WATCH_CANDIDATE,s6event-2b2a4a9c6ed612eabecd,1,2024-11-08,2024-11-08,True,True,SUPPORT_PULLBACK
2024-11-08,300394,天孚通信,s6setup-bd38c99a8f41f1f6d00a,WATCH_CANDIDATE,s6event-d0d09a173cec791a8828,3,2024-11-04,,False,False,NONE
2024-11-08,300397,天和防务,s6setup-5c56c4f571876e4504e9,KEY_CANDIDATE,s6event-5cc0f359029d713c665a,1,2024-11-08,2024-11-08,True,True,SUPPORT_PULLBACK
2024-11-08,300563,神宇股份,s6setup-3b141611a0adf956336b,WATCH_CANDIDATE,s6event-eda15cdb2fdb663f1565,1,2024-11-08,,True,False,NONE
2024-11-08,600601,方正科技,s6setup-a3a1e64d42ee99d21b57,KEY_CANDIDATE,s6event-adc123d11dc69d2a7f2a,1,2024-11-08,2024-11-08,True,True,SUPPORT_PULLBACK
2024-11-08,600990,四创电子,s6setup-bc80c558b01b30a21e16,WATCH_CANDIDATE,s6event-2ced8214ece184e0ff11,1,2024-11-08,2024-11-08,True,True,SUPPORT_PULLBACK
2024-11-08,603893,瑞芯微,s6setup-a63db8c9eb7d11d047d3,KEY_CANDIDATE,s6event-e8e2c08883a4e9b3aadb,3,2024-11-06,2024-11-08,False,True,SUPPORT_PULLBACK
2024-11-08,688252,天德钰,s6setup-99a79916c8c7e6f3c311,KEY_CANDIDATE,s6event-cc4e1f772400fe4f601d,1,2024-11-08,2024-11-08,True,True,SUPPORT_PULLBACK
2024-11-11,002130,沃尔核材,s6setup-3dc4536bdb7bfa83e949,WATCH_CANDIDATE,s6event-44ba49386672a162979d,4,2024-11-06,2024-11-06,False,False,SUPPORT_PULLBACK
2024-11-11,300061,旗天科技,s6setup-da799d9c466c9a1bd1c9,KEY_CANDIDATE,s6event-31f5373379c3781adcbd,1,2024-11-11,2024-11-11,True,True,SUPPORT_PULLBACK
2024-11-11,300067,安诺其,s6setup-27e1e1132118e57a2304,KEY_CANDIDATE,s6event-759b48ea271bddf08145,2,2024-11-08,2024-11-08,False,False,NONE
2024-11-11,300284,苏交科,s6setup-c755ba4efb03e1e282b2,KEY_CANDIDATE,s6event-4330e2e4a423e80f8d8e,1,2024-11-11,2024-11-11,True,True,SUPPORT_PULLBACK
2024-11-11,300394,天孚通信,s6setup-8ead4a2d70dd6c4cbec2,WATCH_CANDIDATE,s6event-d0d09a173cec791a8828,4,2024-11-04,,False,False,NONE
2024-11-11,600601,方正科技,s6setup-69badbc1a77b36f76c90,WATCH_CANDIDATE,s6event-adc123d11dc69d2a7f2a,2,2024-11-08,2024-11-08,False,False,NONE
2024-11-11,600990,四创电子,s6setup-f60a3a82f18a788290ae,KEY_CANDIDATE,s6event-2ced8214ece184e0ff11,2,2024-11-08,2024-11-08,False,False,SUPPORT_PULLBACK
2024-11-11,603486,科沃斯,s6setup-6898d3a1d4a6f35be2f0,WATCH_CANDIDATE,s6event-c8a6b02b3aa5854e7b49,1,2024-11-11,2024-11-11,True,True,SUPPORT_PULLBACK
2024-11-11,603893,瑞芯微,s6setup-a63db8c9eb7d11d047d3,KEY_CANDIDATE,s6event-e8e2c08883a4e9b3aadb,4,2024-11-06,2024-11-08,False,False,NONE
2024-11-12,300046,台基股份,s6setup-80d778573b45a6448eaf,KEY_CANDIDATE,s6event-10a57412646a78fedf11,1,2024-11-12,2024-11-12,True,True,SUPPORT_PULLBACK
2024-11-12,300102,乾照光电,s6setup-5c64756c89da797ce137,KEY_CANDIDATE,s6event-1f338a529659d92e3327,1,2024-11-12,2024-11-12,True,True,SUPPORT_PULLBACK
2024-11-12,300292,吴通控股,s6setup-01f82f10d02fa98a0dc6,KEY_CANDIDATE,s6event-70d3ed881f506535acd7,1,2024-11-12,2024-11-12,True,True,SUPPORT_PULLBACK
2024-11-12,300397,天和防务,s6setup-d1889779ea60fdef1231,WATCH_CANDIDATE,s6event-5cc0f359029d713c665a,2,2024-11-08,2024-11-08,False,False,SUPPORT_PULLBACK
2024-11-12,603893,瑞芯微,s6setup-a63db8c9eb7d11d047d3,KEY_CANDIDATE,s6event-e8e2c08883a4e9b3aadb,5,2024-11-06,2024-11-08,False,False,NONE
2024-11-13,300008,天海防务,s6setup-6690c342fe613eb7b44d,WATCH_CANDIDATE,s6event-923e8700c8c748825ae6,1,2024-11-13,2024-11-13,True,True,SUPPORT_PULLBACK
2024-11-13,300046,台基股份,s6setup-80d778573b45a6448eaf,KEY_CANDIDATE,s6event-10a57412646a78fedf11,2,2024-11-12,2024-11-12,False,False,SUPPORT_PULLBACK
2024-11-13,300085,银之杰,s6setup-e42a370d8980d8402bcb,WATCH_CANDIDATE,s6event-30992034cfbdfeb2ceb9,1,2024-11-13,2024-11-13,True,True,SUPPORT_PULLBACK
2024-11-13,300102,乾照光电,s6setup-5c64756c89da797ce137,KEY_CANDIDATE,s6event-1f338a529659d92e3327,2,2024-11-12,2024-11-12,False,False,SUPPORT_PULLBACK
2024-11-13,300292,吴通控股,s6setup-9c48f58a27fc6f188c7b,WATCH_CANDIDATE,s6event-70d3ed881f506535acd7,2,2024-11-12,2024-11-12,False,False,NONE
2024-11-13,300424,航新科技,s6setup-be858b46ff0d049233b9,WATCH_CANDIDATE,s6event-4078c31fc7789642ae88,1,2024-11-13,2024-11-13,True,True,SUPPORT_PULLBACK
2024-11-13,300570,太辰光,s6setup-38a6a6d341095f048664,WATCH_CANDIDATE,s6event-6177b2a0e001adb36e64,1,2024-11-13,2024-11-13,True,True,SUPPORT_PULLBACK
2024-11-13,301091,深城交,s6setup-1fdb4e96ccfdd131bd2a,KEY_CANDIDATE,s6event-186229517f1898689760,1,2024-11-13,,True,False,NONE
