experiment_id,evaluation_date,code,name,setup_id,candidate_type,entry_timing_state,entry_timing_executable,entry_timing_evidence_count,probability_rr_status,probability_rr_sample_count,probability_rr_target_1_hit_probability,probability_rr_target_2_hit_probability,probability_adjusted_r
S6_ENTRY_E0_BASELINE,2024-11-13,300085,银之杰,s6setup-e42a370d8980d8402bcb,WATCH_CANDIDATE,SUPPORT_FORMING,False,2,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-13,300102,乾照光电,s6setup-5c64756c89da797ce137,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,5,RELIABLE,250,0.316,0.208,0.250992
S6_ENTRY_E0_BASELINE,2024-11-13,300292,吴通控股,s6setup-9c48f58a27fc6f188c7b,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-13,300424,航新科技,s6setup-be858b46ff0d049233b9,WATCH_CANDIDATE,SUPPORT_FORMING,False,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-13,300570,太辰光,s6setup-38a6a6d341095f048664,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,5,RELIABLE,250,0.308,0.16,0.121177
S6_ENTRY_E0_BASELINE,2024-11-13,301091,深城交,s6setup-1fdb4e96ccfdd131bd2a,KEY_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-13,603893,瑞芯微,s6setup-a63db8c9eb7d11d047d3,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,5,RELIABLE,250,0.432,0.152,0.266686
S6_ENTRY_E0_BASELINE,2024-11-14,000829,天音控股,s6setup-085cfe806f3931768d77,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,3,RELIABLE,250,0.536,0.172,0.623547
S6_ENTRY_E0_BASELINE,2024-11-14,300256,星星科技,s6setup-f5234fdcb28fc48d4666,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-14,600843,上工申贝,s6setup-85db4a2ab7750e044af3,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-15,000829,天音控股,s6setup-085cfe806f3931768d77,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,3,RELIABLE,250,0.612,0.208,0.600701
S6_ENTRY_E0_BASELINE,2024-11-15,300256,星星科技,s6setup-f5234fdcb28fc48d4666,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-15,300322,硕贝德,s6setup-3e5c7024c90b1574be62,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-15,300776,帝尔激光,s6setup-c76fc897bc2b7cd6f146,KEY_CANDIDATE,SUPPORT_FORMING,False,2,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-18,002281,光迅科技,s6setup-b8d2a449d0045b5a5ce1,WATCH_CANDIDATE,SUPPORT_FORMING,False,2,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-18,300776,帝尔激光,s6setup-8c07e4dcf09a7e8c17bc,KEY_CANDIDATE,SUPPORT_FORMING,False,2,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-19,002273,水晶光电,s6setup-5be11763ef3d6bd00c66,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-19,002281,光迅科技,s6setup-b8d2a449d0045b5a5ce1,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,5,NOT_EVALUATED,0,0.0,0.0,0.0
