code,name,candidate_type,classification,signal_date,entry_date,entry_price,signal_close,total_score,support_status,main_support_ma,main_support_distance,strength_trigger,high_trigger,max_drawdown,return_5d,return_10d,return_20d,exit_date_5d,exit_date_10d,exit_date_20d,risk_tags,warn_tags
688255,凯尔达,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,36.825,38.675,56.63,SPRINT_MA20_SUPPORT,MA20,0.023581,single_day_surge,new_120d_high,-0.073048,-0.055126,-0.017379,-0.065988,2025-10-17,2025-10-24,2025-11-07,,
688515,裕太微,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,111.0,114.94,66.23,SPRINT_MA20_SUPPORT,MA20,0.000705,single_day_surge,new_120d_high,-0.054595,-0.049459,0.023243,-0.041802,2025-10-17,2025-10-24,2025-11-07,,
688008,澜起科技,WATCH_CANDIDATE,observe,2025-10-17,2025-10-20,141.782,137.802,80.86,SPRINT_MA20_SUPPORT,MA20,0.021952,ret_50d,new_120d_high,-0.145378,0.030103,-0.038665,-0.145378,2025-10-24,2025-10-31,2025-11-14,,HIGH_5D_VOLATILITY|HIGH_10D_VOLATILITY
688308,欧科亿,WATCH_CANDIDATE,observe,2025-10-17,2025-10-20,24.7,23.98,66.31,SPRINT_MA20_SUPPORT,MA20,0.025938,single_day_surge,new_120d_high,-0.006883,0.109312,0.226721,0.225911,2025-10-24,2025-10-31,2025-11-14,,
688469,芯联集成,WATCH_CANDIDATE,observe,2025-10-22,2025-10-23,6.35,6.39,73.46,SPRINT_MA20_SUPPORT,MA20,0.01338,single_day_surge,new_120d_high,-0.055118,0.025197,-0.045669,0.085039,2025-10-29,2025-11-05,2025-11-19,,
002156,通富微电,KEY_CANDIDATE,highlight,2025-10-24,2025-10-27,43.069,41.799,73.64,SPRINT_MA10_SUPPORT,MA10,0.008756,ret_50d,new_120d_high,-0.186909,-0.016253,-0.068959,-0.183427,2025-10-31,2025-11-07,2025-11-21,,
002475,立讯精密,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,65.72,63.75,66.68,SPRINT_MA20_SUPPORT,MA20,0.038627,single_day_surge,new_120d_high,-0.199026,-0.043822,-0.090992,-0.198265,2025-10-31,2025-11-07,2025-11-21,,HIGH_5D_VOLATILITY
600111,北方稀土,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,51.17,51.06,62.93,SPRINT_MA20_SUPPORT,MA20,0.010194,single_day_surge,new_120d_high,-0.140903,-0.009576,-0.059214,-0.140707,2025-10-31,2025-11-07,2025-11-21,,
688019,安集科技,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,174.0,169.939,67.72,SPRINT_MA20_SUPPORT,MA20,0.043713,single_day_surge,new_120d_high,-0.183994,-0.132098,-0.125374,-0.183201,2025-10-31,2025-11-07,2025-11-21,,
688029,南微医学,KEY_CANDIDATE,highlight,2025-10-24,2025-10-27,87.607,87.337,54.79,SPRINT_MA5_SUPPORT,MA5,0.012297,single_day_surge,new_120d_high,-0.142911,-0.065292,-0.082984,-0.136975,2025-10-31,2025-11-07,2025-11-21,,
688035,德邦科技,KEY_CANDIDATE,highlight,2025-10-24,2025-10-27,53.082,52.342,64.23,SPRINT_MA5_SUPPORT,MA5,0.027282,single_day_surge,new_120d_high,-0.182171,-0.036736,-0.073471,-0.181417,2025-10-31,2025-11-07,2025-11-21,,
688061,灿瑞科技,KEY_CANDIDATE,highlight,2025-10-24,2025-10-27,35.93,35.8,53.51,SPRINT_MA5_SUPPORT,MA5,0.016816,single_day_surge,new_120d_high,-0.146952,-0.022544,-0.051767,-0.142499,2025-10-31,2025-11-07,2025-11-21,,
688147,微导纳米,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,53.867,53.197,66.96,SPRINT_MA20_SUPPORT,MA20,0.018225,single_day_surge,new_120d_high,-0.125494,-0.076856,-0.056621,-0.012067,2025-10-31,2025-11-07,2025-11-21,,HIGH_5D_VOLATILITY
688403,汇成股份,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,18.53,17.32,73.84,SPRINT_MA20_SUPPORT,MA20,0.006438,ret_50d,new_120d_high,-0.30707,-0.113869,-0.182947,-0.305451,2025-10-31,2025-11-07,2025-11-21,,HIGH_5D_VOLATILITY
688538,和辉光电,KEY_CANDIDATE,highlight,2025-10-24,2025-10-27,2.73,2.73,59.69,SPRINT_MA5_SUPPORT,MA5,0.00293,single_day_surge,new_120d_high,-0.051282,-0.003663,0.025641,-0.043956,2025-10-31,2025-11-07,2025-11-21,,
688550,瑞联新材,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,51.17,49.5,55.59,SPRINT_MA20_SUPPORT,MA20,0.020576,single_day_surge,new_120d_high,-0.146961,-0.066445,-0.101817,-0.138167,2025-10-31,2025-11-07,2025-11-21,,
688627,精智达,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,169.777,164.597,76.42,SPRINT_MA20_SUPPORT,MA20,0.00569,ret_50d,new_120d_high,-0.032454,0.01178,0.111794,0.053011,2025-10-31,2025-11-07,2025-11-21,,HIGH_5D_VOLATILITY
688786,悦安新材,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,24.833,24.833,61.97,SPRINT_MA20_SUPPORT,MA20,0.011867,single_day_surge,new_120d_high,-0.140257,0.025853,-0.056699,-0.134217,2025-10-31,2025-11-07,2025-11-21,,
688012,中微公司,WATCH_CANDIDATE,observe,2025-10-27,2025-10-28,195.074,198.0,66.81,SPRINT_MA20_SUPPORT,MA20,0.044755,ret_50d,new_120d_high,-0.091483,-0.045106,0.087454,-0.068502,2025-11-03,2025-11-10,2025-11-24,,HIGH_5D_VOLATILITY
688458,美芯晟,WATCH_CANDIDATE,observe,2025-10-27,2025-10-28,42.8,42.79,39.12,SPRINT_MA50_TESTING,MA50,0.059621,single_day_surge,new_120d_high,-0.17243,-0.031776,-0.071028,-0.149766,2025-11-03,2025-11-10,2025-11-24,,
688610,埃科光电,WATCH_CANDIDATE,observe,2025-10-27,2025-10-28,78.49,77.39,59.21,SPRINT_MA20_SUPPORT,MA20,0.047448,single_day_surge,new_120d_high,-0.231367,-0.12371,-0.14091,-0.213913,2025-11-03,2025-11-10,2025-11-24,,
600601,方正科技,WATCH_CANDIDATE,observe,2025-11-07,2025-11-10,11.86,11.86,63.48,SPRINT_MA20_SUPPORT,MA20,0.045868,single_day_surge,new_120d_high,-0.096965,-0.088533,-0.009275,-0.027825,2025-11-14,2025-11-21,2025-12-05,,
688125,安达智能,KEY_CANDIDATE,highlight,2025-11-07,2025-11-10,63.43,64.01,73.08,SPRINT_MA10_SUPPORT,MA10,0.010514,single_day_surge,new_120d_high,0.0,0.041463,0.081192,0.157181,2025-11-14,2025-11-21,2025-12-05,,
688227,品高股份,WATCH_CANDIDATE,observe,2025-11-07,2025-11-10,33.88,33.86,40.64,SPRINT_MA50_TESTING,MA50,0.01736,single_day_surge,new_120d_high,-0.005018,0.141677,0.446871,1.069067,2025-11-14,2025-11-21,2025-12-05,,
